Hospital,Sim City,Patients,Total Billed,Billed per Patient,Billed per Encounter,Encounters per Patient,Rank by Total,Rank by Cost per Patient
"PRO HEALTH COLUMBIA (FRANKLIN, TN)",NASHVILLE,1650,8400501,5091,1159,4.4,636,651
"SOUTHSIDE WELLNESS CENTER LTD (PARMA, OH)",CLEVELAND,6427,32720440,5091,1142,4.5,326,652
"JEWISH FAMILY SERVICE ASSOCIATION (PEPPER PIKE, OH)",CLEVELAND,1157,5862284,5067,1092,4.6,714,653
"SUMMIT PRIMARY CARE (HERMITAGE, TN)",NASHVILLE,1116,5648939,5062,1154,4.4,721,654
"AGE OF WELLNESS LLC (BEACHWOOD, OH)",CLEVELAND,1844,9315959,5052,1118,4.5,603,655
"JEWISH FAMILY SERVICE (NASHVILLE, TN)",NASHVILLE,1822,9176750,5037,1131,4.5,608,656
"ALANA HEALTHCARE INFUSION CENTERS  LLC (NASHVILLE, TN)",NASHVILLE,1459,7340424,5031,1159,4.3,673,657
"EVOLUTIONARY HEALTHCARE LLC (SALT LAKE CITY, UT)",SALT LAKE CITY,2885,14484284,5021,1105,4.5,477,658
"GRACE-FULL HEALTHCARE (NASHVILLE, TN)",NASHVILLE,2531,12674856,5008,1138,4.4,515,659
"UNIVERSITY COMMUNITY HEALTH SERVICES  INC (NASHVILLE, TN)",NASHVILLE,1847,9217489,4991,1119,4.5,607,660
"IPC PAC HEALTHCARE SERVICES OF TENNESSEE PC (WHITES CREEK, TN)",NASHVILLE,3421,17061222,4987,1121,4.5,429,661
"HARMONY FAMILY HEALTH CARE COMPANY (NASHVILLE, TN)",NASHVILLE,2062,10268983,4980,1145,4.4,581,662
"HEALTH SPHERE WELLNESS CENTER LLC (NASHVILLE, TN)",NASHVILLE,1203,5984101,4974,1107,4.5,707,663
"ASPIRE WELLNESS LLC (KINSMAN, OH)",CLEVELAND,8364,41605174,4974,1121,4.4,305,664
"CONTINUUM HEALTHCARE GROUP (STRONGSVILLE, OH)",CLEVELAND,1110,5519788,4973,1122,4.4,726,665
"WELLNESSONE OF BEDFORD  LLC (WARRENSVILLE HTS, OH)",CLEVELAND,2609,12970283,4971,1106,4.5,505,666
"URBAN INDIAN CENTER OF SALT LAKE (SALT LAKE CITY, UT)",SALT LAKE CITY,1157,5747880,4968,1108,4.5,719,667
"WATSON PRIMARY CARE  PLLC (NASHVILLE, TN)",NASHVILLE,1533,7611523,4965,1138,4.4,667,668
"MANET COMMUNITY HEALTH CENTER  INC. (QUINCY, MA)",BOSTON,1199,5951897,4964,1173,4.2,708,669
"SMARTQUEST HEALTHCARE LLC (GARFIELD HTS, OH)",CLEVELAND,3218,15971250,4963,1120,4.4,447,670
"PERSONAL PHYSICIANS HEALTHCARE PC (CHESTNUT HILL, MA)",BOSTON,1124,5570690,4956,1170,4.2,724,671
"WASATCH PRIMARY CARE PLLC (SALT LAKE CITY, UT)",SALT LAKE CITY,1111,5496949,4948,1088,4.5,727,672
"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER  INC (NASHVILLE, TN)",NASHVILLE,1548,7654289,4945,1129,4.4,663,673
"UNITED NEIGHBORHOOD HEALTH SERVICES  INC (NASHVILLE, TN)",NASHVILLE,6447,31871408,4944,1125,4.4,331,674
"BROWN MEDICAL CENTER  INC. (EAST CLEVELAND, OH)",CLEVELAND,1850,9138315,4940,1089,4.5,611,675
"NASHVILLE PRIMARY CARE PLLC. (NASHVILLE, TN)",NASHVILLE,1349,6661186,4938,1118,4.4,698,676
"RIDGEPARK FAMILY PRACTICE (PARMA, OH)",CLEVELAND,10814,53319421,4931,1105,4.5,281,677
"FAMILY MEDICINE & OCCUPATIONAL HEALTH CENTER  INC. (SHAKER HTS, OH)",CLEVELAND,9853,48572821,4930,1100,4.5,289,678
"W R HEALTH CARE MANAGEMENT LLC (LYNDHURST, OH)",CLEVELAND,3008,14825426,4929,1095,4.5,471,679
"NEURO HEALTH AND WELLNESS LLC (WARRENSVILLE HEIGHTS, OH)",CLEVELAND,2611,12838993,4917,1094,4.5,511,680
"FAMILY GUIDANCE CENTER INC (EUCLID, OH)",CLEVELAND,6618,32540437,4917,1106,4.4,327,681
"VITALITY WELLNESS  PLLC (NASHVILLE, TN)",NASHVILLE,1760,8653709,4917,1128,4.4,623,682
"RIVER FAMILY MEDICINE LLC (EUCLID, OH)",CLEVELAND,4697,23094117,4917,1102,4.5,373,683
"KC CENTER FOR HEALTH AND WELLNESS LLC (CLEVELAND, OH)",CLEVELAND,8596,42259417,4916,1107,4.4,304,684
"DIAMONDS & PEARLS HEALTH SERVICES LLC (BEACHWOOD, OH)",CLEVELAND,3074,15103884,4913,2278,2.2,469,685
"GLTCP HEALTH CARE SERVICES INC (WALTON HILLS, OH)",CLEVELAND,1967,9664135,4913,1097,4.5,592,686
"CIRCLE HEALTH SERVICES (PARMA, OH)",CLEVELAND,8705,42750147,4911,1110,4.4,301,687
"TORRENCE HANDS HEALTHCARE LLC (LAKEWOOD, OH)",CLEVELAND,2521,12373481,4908,1094,4.5,521,688
"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES  INC. (CLEVELAND, OH)",CLEVELAND,20734,101757130,4908,1096,4.5,217,689
"WASHINGTON WELLNESS INSTITUTE LLC (CLEVELAND, OH)",CLEVELAND,14891,73026897,4904,1102,4.5,250,690
"HOUGH CENTER (CLEVELAND, OH)",CLEVELAND,10344,50715514,4903,1088,4.5,284,691
"PROVIDENCE MEDICAL CLINIC LLC (GREENBRIER, TN)",NASHVILLE,1212,5938633,4900,1114,4.4,709,692
"HIGHLAND WELLNESS CENTER INC (HIGHLAND HTS, OH)",CLEVELAND,4121,20184454,4898,1105,4.4,395,693
"NEW LIFE MEDICAL CENTER (FAIRVIEW PARK, OH)",CLEVELAND,4041,19786681,4896,1091,4.5,398,694
"LIFE LINE COMMUNITY HEALTHCARE (INDEPENDENCE, OH)",CLEVELAND,11142,54487553,4890,1104,4.4,279,695
"INTERNAL MEDICINE GROUP INC (BEDFORD, OH)",CLEVELAND,2803,13703858,4889,1087,4.5,492,696
"ASIAN SERVICES IN ACTION INC (CLEVELAND, OH)",CLEVELAND,8141,39790621,4888,1099,4.4,309,697
"ASC WELLNESS LLC (MAYFIELD VILLAGE, OH)",CLEVELAND,2314,11301363,4884,1087,4.5,549,698
"ABCO MEDICAL CENTER  L.L.C. (LAKEWOOD, OH)",CLEVELAND,5044,24625462,4882,1097,4.5,366,699
"WHITES CREEK CLINIC (NASHVILLE, TN)",NASHVILLE,1200,5854125,4878,1082,4.5,715,700
"NORTH COAST FAMILY FOUNDATION (MIDDLEBURG HTS, OH)",CLEVELAND,13936,67975986,4878,1091,4.5,254,701
"WATSON PRIMARY CARE AND GENERAL ORTHOPAEDICS PLC (NASHVILLE, TN)",NASHVILLE,1562,7604499,4868,1112,4.4,668,702
"NEIGHBORHOOD HEALTH CARE INCORPORATED (CLEVELAND, OH)",CLEVELAND,27283,132336403,4851,1090,4.4,178,703
"COOPERATIVE MEDICAL HEALTH CARE CORPORATION PROFESSIONAL ASSOCIATION (BEREA, OH)",CLEVELAND,6880,33368820,4850,1085,4.5,324,704
"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES  INC. (EAST CLEVELAND, OH)",CLEVELAND,2477,11990153,4841,1079,4.5,533,705
"CIRCLE HEALTH SERVICES (CLEVELAND, OH)",CLEVELAND,20704,100204555,4840,1091,4.4,220,706
"COMPLETE WELLNESS CENTER LLC (MAYFIELD VILLAGE, OH)",CLEVELAND,2290,11076216,4837,1074,4.5,557,707
"CENTRAL OUTREACH WELLNESS CENTER (CLEVELAND HEIGHTS, OH)",CLEVELAND,11590,55954538,4828,1096,4.4,275,708
"PRECISION HEALTHCARE INC (NASHVILLE, TN)",NASHVILLE,1216,5847353,4809,1068,4.5,716,709
"SIGNATURE HEALTH  INC. (GARFIELD HEIGHTS, OH)",CLEVELAND,5249,25209044,4803,1091,4.4,361,710
"CLEVELAND HEALTH AND WELLNESS CENTER (ROCKY RIVER, OH)",CLEVELAND,3781,18131429,4795,1078,4.4,412,711
"FAMILY PODIATRY CENTER  P.C. (NASHVILLE, TN)",NASHVILLE,2675,12795721,4783,1098,4.4,512,712
"COMPREHENSIVE PRIMARY CARE (CLEVELAND, OH)",CLEVELAND,2747,13112502,4773,1075,4.4,502,713
"MEASURED WELLNESS LLC (BROOKLINE, MA)",BOSTON,1805,8612213,4771,1129,4.2,625,714
"SIGNATURE HEALTH  INC. (CLEVELAND, OH)",CLEVELAND,2996,14283828,4768,1084,4.4,481,715
"NEIGHBORHOOD HEALTH CARE INCORPORATED (LAKEWOOD, OH)",CLEVELAND,6294,29901435,4751,1070,4.4,339,716
"SPRY HEALTHCARE LLC (CLEVELAND, OH)",CLEVELAND,1536,7208596,4693,1056,4.4,676,717
"UPHAMS CORNER HEALTH COMMITTEE INC (DORCHESTER, MA)",BOSTON,2267,10631406,4690,1046,4.5,571,718
"AHAVA CENTER FOR HEALTH AND WELLNESS (BEACHWOOD, OH)",CLEVELAND,2293,10743348,4685,1057,4.4,568,719
"FENWAY COMMUNITY HEALTH CENTER  INC (BOSTON, MA)",BOSTON,3806,17789415,4674,1112,4.2,419,720
"HARBOR HEALTH SERVICES INC (DORCHESTER, MA)",BOSTON,5980,27713366,4634,1094,4.2,348,721
"BOSTON PAIN CLINIC & PRIMARY CARE PC (HYDE PARK, MA)",BOSTON,2018,9323697,4620,1085,4.3,602,722
"CHARLES RIVER COMMUNITY HEALTH  INC (ALLSTON, MA)",BOSTON,1311,6004824,4580,1074,4.3,706,723
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM INC (BOSTON, MA)",BOSTON,5107,23263577,4555,1076,4.2,372,724
"WHITLEY WELLNESS LLC (CHARLESTOWN, MA)",BOSTON,5917,26825763,4534,1063,4.3,352,725
"BOSTON MEDICAL CENTER CORPORATION- (ROSLINDALE, MA)",BOSTON,2572,11650291,4530,1067,4.2,541,726
"SOUTH BOSTON COMMUNITY HEALTH CENTER INC (SOUTH BOSTON, MA)",BOSTON,4719,21263226,4506,1074,4.2,389,727
"ENGRACE HEALTHCARE PRACTICE LLC (BROOKLINE, MA)",BOSTON,1113,5014330,4505,1055,4.3,731,728
"NORTH END COMMUNITY HEALTH COMMITTEE INC (BOSTON, MA)",BOSTON,4950,22236954,4492,1068,4.2,381,729
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM INC (JAMAICA PLAIN, MA)",BOSTON,1184,5253813,4437,1034,4.3,729,730
"DAVIS SQUARE FAMILY PRACTICE (SOMERVILLE, MA)",BOSTON,2623,11543640,4401,1033,4.3,543,731
